business_id,name,latitude,longitude,categories
190014,NONA VECHIA COM DE GENEROS ALIMENTICIOS LTDA ME,-23.604506,-46.654486,"ALIMENTOS,PADARIA"
190211,Z & LUTFIS PAES E DOCES LTDA-EPP,-23.599637,-46.660558,"CONFEITARIA,PADARIA"
190234,PAES E DOCES PEROLA DE MOEMA LTDA,-23.598636,-46.661299,"CONFEITARIA,PADARIA"
190627,PANIFICADORA DOCELIA LTDA,-23.596615,-46.655553,"CONFEITARIA,PADARIA"
190755,PANIFICADORA ASTRAL LTDA.,-23.595487,-46.653992,PADARIA
190953,PANENOSTRO PANNETERIES LTDA,-23.606763,-46.648555,PADARIA
191206,CHARME DA VILA CLEMENTINO PAES DOCES LTD,-23.60207,-46.648224,"CONFEITARIA,PADARIA"
191652,PANIFICADORA E CONFEITARIA COMAR LT-EPP,-23.597557,-46.648404,"CONFEITARIA,PADARIA"
191835,PANIFICADORA OURO PAO LTDA,-23.596133,-46.647602,PADARIA
192303,CENTER FRIOS SAO JUDAS LTDA,-23.623864,-46.640121,PADARIA
192541,PANIFICADORA RONEX LTDA-EPP,-23.621295,-46.639408,PADARIA
192682,E.F.M. PAES E DOCES LTDA EPP,-23.621485,-46.637304,"CONFEITARIA,PADARIA"
192816,MASTER FRIOS SAUDE LTDA-ME,-23.618054,-46.638171,PADARIA
192825,PANIF.E CONF.RAINHA DO JABAQUARA LTDA.,-23.619544,-46.637492,PADARIA
192859,PANIFICADORA NHANDU LTDA.,-23.616385,-46.64502,PADARIA
192989,PANIFICADORA SOL LIMITADA,-23.611751,-46.644772,PADARIA
193262,RESTAURANTE E PADARIA BELLAMI LTDA,-23.617129,-46.63879,"RESTAURANTE,PADARIA"
193801,AVICOLA GUARAHU LTDA,-23.61047,-46.638644,PADARIA
194315,PAES E DOCES CISNE DA PRATA LTDA. - EPP,-23.620708,-46.633639,"CONFEITARIA,PADARIA"
194462,ANTONIO CARLOS COMUNALLE ME,-23.623732,-46.630101,PADARIA
194971,BAIDALI MINI MERCADO LTDA-ME,-23.61209,-46.636882,PADARIA
195084,PADARIA E CONFEITARIA MINERVA LTDA.,-23.611032,-46.636101,"CONFEITARIA,PADARIA"
195283,PADARIA N. BERTIOGA PAES E DOCES LTDA ME,-23.610644,-46.633854,"CONFEITARIA,PADARIA"
195589,PANI DI NAPOLI PAES E DOCES LTDA ME,-23.609429,-46.630483,"CONFEITARIA,PADARIA"
195652,ARRUDA & CAMPOS FRIOS E LATICINIOS LTDA ME,-23.607764,-46.643432,"LATICINIO,PADARIA"
195912,BROINHA COMERCIO DE PAES E DOCES CONVENIENCIAS LTDA.,-23.60487,-46.643864,"CONVENIENCIA,COMERCIO,CONFEITARIA,PADARIA"
195982,CASA CREMONA COMERCIO E LATICINIOS LTDA-ME,-23.602568,-46.644118,"LATICINIO,COMERCIO,PADARIA"
196352,PANIF. E CONFEITARIA S.F. LTDA.,-23.605969,-46.639945,"CONFEITARIA,PADARIA"
196545,CAFETERIA CAFE COM LEITE LTDA,-23.603743,-46.640406,"CAFETERIA,PADARIA,CAFE"
196987,DATAREINE INFORMATICA LTDA,-23.59927,-46.643087,"INFORMATICA,PADARIA"
197182,PANIFICADORA E CONF LA GONDOLA LTDA-EPP,-23.595234,-46.64347,PADARIA
197242,LEITERIA SAO PAULO LTDA ME,-23.596998,-46.642201,PADARIA
197513,LATICINIOS QUEIJO E FRIOS LTDA ME,-23.59924,-46.63943,"LATICINIO,PADARIA"
198055,AMPLOS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,-23.609025,-46.63662,"ALIMENTOS,PADARIA,COMERCIO,PRODUTOS"
198362,PANIFICADORA AMARANTE LTDA.,-23.603657,-46.636259,PADARIA
198389,S.G.COMERCIO DE FRIOS E LATICINIOS LTDA.,-23.603594,-46.635597,"LATICINIO,COMERCIO,PADARIA"
198686,J L MAR COMERCIAL LTDA,-23.608723,-46.632046,"COMERCIO,PADARIA"
198705,BAR E EMPORIO VALMA LTDA,-23.607908,-46.631159,PADARIA
198816,MASSAS E FRIOS RECANTO DA JACI LTDA ME,-23.605401,-46.629663,PADARIA
198898,M.J.S. PAES E DOCES LTDA,-23.601288,-46.631361,"CONFEITARIA,PADARIA"
198932,PANIFICADORA JS LTDA EPP,-23.60362,-46.630097,PADARIA
199105,PANIFICADORA E CONFEITARIA SAGRES LTDA,-23.599283,-46.636511,"CONFEITARIA,PADARIA"
199219,LATICINIOS ROALFESH LTDA. ME,-23.601131,-46.63355,"LATICINIO,PADARIA"
199551,CONFEITARIA JABER LTDA,-23.592989,-46.636434,"CONFEITARIA,PADARIA"
199950,PADARIA E CONFEITARIA PORTHUS LTDA.,-23.598143,-46.629063,"CONFEITARIA,PADARIA"
200044,PAO QUENTE DA V MARIANA PAES DOCES LTDA,-23.596654,-46.630623,"CONFEITARIA,PADARIA"
200230,PAES E DOCES MONTE BLANCO LTDA-EPP,-23.648533,-46.613185,"CONFEITARIA,PADARIA"
200442,KIPASTA FRIOS E LATICINIOS LTDA-ME.,-23.632326,-46.627076,"LATICINIO,PADARIA"
200465,COM DE FRIOS E LATIC SANTA RITA LTDA-ME,-23.631066,-46.627068,"LATICINIO,PADARIA"
200549,PADARIA ROSA DE MORAIS LTDA,-23.630053,-46.625347,PADARIA
200654,ANTONIO LUIZ BEZERRA DA SILVA - ME,-23.630897,-46.621879,PADARIA
